data	cnpj_loja	nome_loja	qtd cupom	valor venda	qtd venda
31/12/2019	389368000200	Loja 2	15	751.42	83.24
10/11/2019	389368000200	Loja 2	3	3885.39	758.29
26/12/2019	389368000200	Loja 2	9	614.64	240.14
31/12/2019	389368000200	Loja 2	22	689.16	65.53
27/11/2019	389368000200	Loja 2	61	211.39	53.27
26/12/2019	389368000200	Loja 2	16	248.26	38.08
13/11/2019	389368000200	Loja 2	3	6449.65	1191.47
13/11/2019	389368000200	Loja 2	7	8524.47	1026.09
3/11/2019	389368000200	Loja 2	12	1204.45	187.94
1/11/2019	389368000200	Loja 2	62	975.78	221.39
13/11/2019	389368000200	Loja 2	9	4636.95	1027.43
31/12/2019	389368000200	Loja 2	6	3099.46	509.98
31/12/2019	389368000200	Loja 2	8	3409.23	470.08
26/12/2019	389368000200	Loja 2	8	549.28	81.01
26/12/2019	389368000200	Loja 2	19	856.1	143.59
26/12/2019	389368000200	Loja 2	6	786	120.17
3/11/2019	389368000200	Loja 2	6	4285.25	720.8
26/11/2019	389368000200	Loja 2	6	6623.64	1222.82
1/11/2019	389368000200	Loja 2	8	4646.37	842.22
24/11/2019	389368000200	Loja 2	26	279.38	14.02
22/11/2019	389368000200	Loja 2	10	6074.2	1030.42
31/12/2019	389368000200	Loja 2	12	2700.21	690.27
31/12/2019	389368000200	Loja 2	10	1643	266.83
6/11/2019	389368000200	Loja 2	10	1765.81	510.23
3/11/2019	389368000200	Loja 2	7	1237.07	344.75
6/11/2019	389368000200	Loja 2	28	643.48	79.08
10/11/2019	389368000200	Loja 2	8	1928.99	373.25
26/12/2019	389368000200	Loja 2	12	73.46	27.7
6/11/2019	389368000200	Loja 2	6	4225.84	837.8
6/11/2019	389368000200	Loja 2	9	2216.93	572.97
10/11/2019	389368000200	Loja 2	50	232.48	77.95
6/11/2019	389368000200	Loja 2	18	2355.68	198.37
13/11/2019	389368000200	Loja 2	6	12107.81	1794.58
31/12/2019	389368000200	Loja 2	35	1943.3	237.18
13/11/2019	389368000200	Loja 2	14	1618.18	297.5
6/11/2019	389368000200	Loja 2	37	1314.41	177.78
31/12/2019	389368000200	Loja 2	11	1326.61	205.8
6/11/2019	389368000200	Loja 2	5	2716.81	501.91
22/11/2019	389368000200	Loja 2	12	4865.54	784.04
27/11/2019	389368000200	Loja 2	70	569.08	168
13/11/2019	389368000200	Loja 2	22	1757.35	479.5
13/11/2019	389368000200	Loja 2	13	117.51	55.6
27/11/2019	389368000200	Loja 2	1	135.34	30.13
10/11/2019	389368000200	Loja 2	15	2058.77	320.59
13/11/2019	389368000200	Loja 2	12	2661.57	366.2
26/11/2019	389368000200	Loja 2	14	2530.58	396.88
27/11/2019	389368000200	Loja 2	8	5274.14	890.92
6/11/2019	389368000200	Loja 2	8	1663.38	491.56
24/11/2019	389368000200	Loja 2	14	2188.14	286.1
22/11/2019	389368000200	Loja 2	14	3288.98	555.52
26/11/2019	389368000200	Loja 2	1	192.11	19.12
6/11/2019	389368000200	Loja 2	21	73.15	21
3/11/2019	389368000200	Loja 2	16	1843.84	295.36
6/11/2019	389368000200	Loja 2	41	800.97	677.33
6/11/2019	389368000200	Loja 2	12	1279.46	476.2
26/12/2019	389368000200	Loja 2	13	584.14	63.17
27/11/2019	389368000200	Loja 2	7	157.13	41
31/12/2019	389368000200	Loja 2	94	1013.94	144
24/11/2019	389368000200	Loja 2	9	31.27	9
1/11/2019	389368000200	Loja 2	13	1413.85	372.23
6/11/2019	389368000200	Loja 2	74	305.85	18.17
31/12/2019	389368000200	Loja 2	26	855.59	137.82
31/12/2019	389368000200	Loja 2	28	362.77	81.41
1/11/2019	389368000200	Loja 2	10	5869.06	1135.13
3/11/2019	389368000200	Loja 2	10	3050.07	425.99
26/11/2019	389368000200	Loja 2	8	5205.4	918.94
27/11/2019	389368000200	Loja 2	15	846.62	34.87
24/11/2019	389368000200	Loja 2	1	98.27	15.92
31/12/2019	389368000200	Loja 2	13	1505.91	132.14
31/12/2019	389368000200	Loja 2	19	1954.75	122.46
1/11/2019	389368000200	Loja 2	28	604.55	135.37
3/11/2019	389368000200	Loja 2	22	802.56	384
10/11/2019	389368000200	Loja 2	101	883.22	118
10/11/2019	389368000200	Loja 2	14	1685.03	189.77
27/11/2019	389368000200	Loja 2	12	4469.32	631.5
6/11/2019	389368000200	Loja 2	19	498.27	296
13/11/2019	389368000200	Loja 2	37	351.05	93.15
27/11/2019	389368000200	Loja 2	14	2015.96	406.98
26/11/2019	389368000200	Loja 2	3	112.56	25.41
1/11/2019	389368000200	Loja 2	22	2497.57	366.27
24/11/2019	389368000200	Loja 2	42	457.12	118
26/11/2019	389368000200	Loja 2	5	297.56	43.81
3/11/2019	389368000200	Loja 2	29	458.38	18.35
1/11/2019	389368000200	Loja 2	11	4427.32	650.29
6/11/2019	389368000200	Loja 2	14	1402.24	228.23
3/11/2019	389368000200	Loja 2	17	782.35	184.61
1/11/2019	389368000200	Loja 2	16	3504.98	508.18
24/11/2019	389368000200	Loja 2	18	1024.68	130.1
22/11/2019	389368000200	Loja 2	30	1317.02	258.06
10/11/2019	389368000200	Loja 2	22	559.87	104.02
10/11/2019	389368000200	Loja 2	17	1277.98	177.82
31/12/2019	389368000200	Loja 2	16	2376.02	695.85
3/11/2019	389368000200	Loja 2	9	1277.35	272.44
1/11/2019	389368000200	Loja 2	21	2663.25	611.89
22/11/2019	389368000200	Loja 2	20	1636.16	198.02
6/11/2019	389368000200	Loja 2	16	1603.74	322
26/11/2019	389368000200	Loja 2	38	929.28	222.3
26/11/2019	389368000200	Loja 2	22	926.66	384.3
26/11/2019	389368000200	Loja 2	18	1473.32	287.3
31/12/2019	389368000200	Loja 2	29	1516.88	94.97
31/12/2019	389368000200	Loja 2	25	2104.13	917.6
13/11/2019	389368000200	Loja 2	21	2028.31	97.72
22/11/2019	389368000200	Loja 2	120	487.24	54.68
6/11/2019	389368000200	Loja 2	11	1642.53	356.77
13/11/2019	389368000200	Loja 2	18	1686.06	641.37
26/11/2019	389368000200	Loja 2	16	2138.16	380.46
1/11/2019	389368000200	Loja 2	24	1899.16	736.04
1/11/2019	389368000200	Loja 2	49	214.39	79.85
13/11/2019	389368000200	Loja 2	24	244.1	144.25
3/11/2019	389368000200	Loja 2	13	2816.45	576.63
1/11/2019	389368000200	Loja 2	17	941.26	244.76
1/11/2019	389368000200	Loja 2	14	2271.04	430.83
10/11/2019	389368000200	Loja 2	41	772.17	551.58
31/12/2019	389368000200	Loja 2	27	252.76	253.16
22/11/2019	389368000200	Loja 2	28	1320.36	135.68
26/12/2019	389368000200	Loja 2	15	95.62	32
22/11/2019	389368000200	Loja 2	26	576.52	80.4
10/11/2019	389368000200	Loja 2	12	1673.45	257.02
24/11/2019	389368000200	Loja 2	12	1980.14	218.36
31/12/2019	389368000200	Loja 2	38	70.23	26.25
26/12/2019	389368000200	Loja 2	18	103.05	28.76
31/12/2019	389368000200	Loja 2	36	766.57	65.7
26/12/2019	389368000200	Loja 2	11	191.45	33.37
26/12/2019	389368000200	Loja 2	37	118.82	14.9
3/11/2019	389368000200	Loja 2	8	1890.52	429.37
24/11/2019	389368000200	Loja 2	20	2247.94	247.6
22/11/2019	389368000200	Loja 2	16	2171.18	401
22/11/2019	389368000200	Loja 2	34	1026.08	233.54
26/11/2019	389368000200	Loja 2	44	572.22	198
27/11/2019	389368000200	Loja 2	16	2655.7	347.08
1/11/2019	389368000200	Loja 2	20	2695.76	633.66
27/11/2019	389368000200	Loja 2	18	1510.54	168.58
1/11/2019	389368000200	Loja 2	18	1560.68	214.93
31/12/2019	389368000200	Loja 2	39	2609.23	121.2
31/12/2019	389368000200	Loja 2	34	422.24	65.04
26/12/2019	389368000200	Loja 2	24	176.15	66
31/12/2019	389368000200	Loja 2	57	130.14	52.59
31/12/2019	389368000200	Loja 2	37	226.04	68.83
31/12/2019	389368000200	Loja 2	21	124.09	43
31/12/2019	389368000200	Loja 2	63	349.49	185
31/12/2019	389368000200	Loja 2	32	416.68	88
26/12/2019	389368000200	Loja 2	29	202.32	45.02
31/12/2019	389368000200	Loja 2	17	837.32	83.43
22/11/2019	389368000200	Loja 2	78	655.58	200
24/11/2019	389368000200	Loja 2	24	1620.8	175.28
24/11/2019	389368000200	Loja 2	5	244.55	25.68
1/11/2019	389368000200	Loja 2	26	2498.84	657.91
13/11/2019	389368000200	Loja 2	11	4107.51	825.3
10/11/2019	389368000200	Loja 2	26	1951.4	180.92
6/11/2019	389368000200	Loja 2	40	120.97	40.49
3/11/2019	389368000200	Loja 2	23	546.18	512.07
1/11/2019	389368000200	Loja 2	36	448.33	172
10/11/2019	389368000200	Loja 2	16	2323.58	476.06
3/11/2019	389368000200	Loja 2	11	1328.22	284.2
6/11/2019	389368000200	Loja 2	27	1061.64	122
27/11/2019	389368000200	Loja 2	24	734.48	178
26/11/2019	389368000200	Loja 2	23	27	36
6/11/2019	389368000200	Loja 2	24	1785.65	146.91
27/11/2019	389368000200	Loja 2	20	805.98	180.86
27/11/2019	389368000200	Loja 2	38	368.26	34.94
1/11/2019	389368000200	Loja 2	33	866.81	91.11
24/11/2019	389368000200	Loja 2	54	589.56	204
26/11/2019	389368000200	Loja 2	30	463.68	69.92
26/11/2019	389368000200	Loja 2	20	182.24	66.3
6/11/2019	389368000200	Loja 2	17	819.05	236.44
27/11/2019	389368000200	Loja 2	26	926.82	158.62
22/11/2019	389368000200	Loja 2	42	349.72	97.42
27/11/2019	389368000200	Loja 2	28	719.4	188.98
13/11/2019	389368000200	Loja 2	19	464.81	87.6
3/11/2019	389368000200	Loja 2	79	613.24	82
3/11/2019	389368000200	Loja 2	19	486.51	86.14
24/11/2019	389368000200	Loja 2	7	222.83	33.99
6/11/2019	389368000200	Loja 2	13	825.46	156
3/11/2019	389368000200	Loja 2	20	712.95	274.64
13/11/2019	389368000200	Loja 2	26	581.77	83
10/11/2019	389368000200	Loja 2	35	260.47	7.04
27/11/2019	389368000200	Loja 2	66	160.44	53.96
1/11/2019	389368000200	Loja 2	37	1050.4	113.19
27/11/2019	389368000200	Loja 2	27	201.01	5.44
10/11/2019	389368000200	Loja 2	19	771.59	92.41
1/11/2019	389368000200	Loja 2	48	630.81	25.35
26/11/2019	389368000200	Loja 2	60	250.38	14.92
24/11/2019	389368000200	Loja 2	19	797.3	337.17
26/11/2019	389368000200	Loja 2	40	830.26	256
1/11/2019	389368000200	Loja 2	27	626.61	126.88
26/11/2019	389368000200	Loja 2	32	674.96	103.56
26/11/2019	389368000200	Loja 2	36	98.32	18.7
3/11/2019	389368000200	Loja 2	14	729.21	115.4
6/11/2019	389368000200	Loja 2	15	392.64	81
6/11/2019	389368000200	Loja 2	20	584.33	46.59
10/11/2019	389368000200	Loja 2	25	77.61	39
1/11/2019	389368000200	Loja 2	54	213.07	35.71
27/11/2019	389368000200	Loja 2	52	210.6	75.68
1/11/2019	389368000200	Loja 2	29	1479.17	197
27/11/2019	389368000200	Loja 2	44	480.26	74
24/11/2019	389368000200	Loja 2	32	261.28	7.08
27/11/2019	389368000200	Loja 2	13	307.28	10.22
10/11/2019	389368000200	Loja 2	23	2924.98	657.19
1/11/2019	389368000200	Loja 2	15	1527.49	295.89
10/11/2019	389368000200	Loja 2	20	366.45	75
27/11/2019	389368000200	Loja 2	17	90.65	3.64
13/11/2019	389368000200	Loja 2	51	662.77	203.74
6/11/2019	389368000200	Loja 2	31	170.65	78
10/11/2019	389368000200	Loja 2	28	1207.4	488
3/11/2019	389368000200	Loja 2	15	985.02	104.52
13/11/2019	389368000200	Loja 2	25	714.67	192.83
13/11/2019	389368000200	Loja 2	35	421.87	109.38
6/11/2019	389368000200	Loja 2	110	392.87	44.05
10/11/2019	389368000200	Loja 2	18	1495.02	154.16
10/11/2019	389368000200	Loja 2	29	1199.28	432
13/11/2019	389368000200	Loja 2	15	311.25	87
13/11/2019	389368000200	Loja 2	16	889.06	61.6
6/11/2019	389368000200	Loja 2	38	713.43	51.03
24/11/2019	389368000200	Loja 2	28	1024.22	120.32
10/11/2019	389368000200	Loja 2	80	323.17	36.16
26/11/2019	389368000200	Loja 2	46	99.96	37.6
22/11/2019	389368000200	Loja 2	52	978.96	70.26
22/11/2019	389368000200	Loja 2	22	686.98	50.16
24/11/2019	389368000200	Loja 2	37	600.64	188
3/11/2019	389368000200	Loja 2	38	471.48	158
6/11/2019	389368000200	Loja 2	46	241.54	81.02
1/11/2019	389368000200	Loja 2	84	817.59	249
3/11/2019	389368000200	Loja 2	31	792.67	80.32
3/11/2019	389368000200	Loja 2	32	262	80
10/11/2019	389368000200	Loja 2	33	477.87	47.28
27/11/2019	389368000200	Loja 2	9	68.41	8.78
13/11/2019	389368000200	Loja 2	17	1948.26	221.15
3/11/2019	389368000200	Loja 2	26	904.64	38.54
26/11/2019	389368000200	Loja 2	11	331.82	17.95
27/11/2019	389368000200	Loja 2	31	280.14	280.16
1/11/2019	389368000200	Loja 2	31	3731.33	1857
27/11/2019	389368000200	Loja 2	40	117.9	33.98
1/11/2019	389368000200	Loja 2	39	321.35	104
13/11/2019	389368000200	Loja 2	20	704.26	33.45
3/11/2019	389368000200	Loja 2	18	243.86	62
26/11/2019	389368000200	Loja 2	70	171.62	57.98
24/11/2019	389368000200	Loja 2	36	520	520
26/11/2019	389368000200	Loja 2	26	1284.1	238.68
3/11/2019	389368000200	Loja 2	30	140.5	23.66
6/11/2019	389368000200	Loja 2	22	449.7	67.9
1/11/2019	389368000200	Loja 2	61	317.77	91.3
24/11/2019	389368000200	Loja 2	11	69.86	14
27/11/2019	389368000200	Loja 2	21	534.13	18.42
22/11/2019	389368000200	Loja 2	24	30.58	7.72
22/11/2019	389368000200	Loja 2	64	253.48	15
27/11/2019	389368000200	Loja 2	22	817.22	176
24/11/2019	389368000200	Loja 2	22	639.98	102
13/11/2019	389368000200	Loja 2	32	315.27	113
6/11/2019	389368000200	Loja 2	25	183.89	47.65
27/11/2019	389368000200	Loja 2	33	426.17	61
6/11/2019	389368000200	Loja 2	42	224.87	37.96
1/11/2019	389368000200	Loja 2	82	236.61	79.53
10/11/2019	389368000200	Loja 2	75	277.81	79.87
22/11/2019	389368000200	Loja 2	50	439.48	118.64
24/11/2019	389368000200	Loja 2	31	240.06	61.2
26/11/2019	389368000200	Loja 2	75	242.01	61.01
22/11/2019	389368000200	Loja 2	74	334.08	84
13/11/2019	389368000200	Loja 2	30	488.99	44.58
24/11/2019	389368000200	Loja 2	13	656.42	308.78
13/11/2019	389368000200	Loja 2	53	334.88	112
3/11/2019	389368000200	Loja 2	61	219.63	56.64
10/11/2019	389368000200	Loja 2	68	193.43	64.93
1/11/2019	389368000200	Loja 2	68	1166.6	46.78
27/11/2019	389368000200	Loja 2	46	268.76	45.84
27/11/2019	389368000200	Loja 2	3	65.49	11
3/11/2019	389368000200	Loja 2	25	374.73	150.65
6/11/2019	389368000200	Loja 2	34	97.68	49.37
24/11/2019	389368000200	Loja 2	69	329.65	36.78
24/11/2019	389368000200	Loja 2	47	176.45	44.41
13/11/2019	389368000200	Loja 2	68	810.21	247
24/11/2019	389368000200	Loja 2	30	281.08	100.98
10/11/2019	389368000200	Loja 2	42	179.78	78.6
10/11/2019	389368000200	Loja 2	39	859.69	278.62
26/11/2019	389368000200	Loja 2	19	56.57	19
3/11/2019	389368000200	Loja 2	33	40.18	41
13/11/2019	389368000200	Loja 2	38	164.32	47.23
24/11/2019	389368000200	Loja 2	50	389.4	60
1/11/2019	389368000200	Loja 2	51	650.14	218
26/11/2019	389368000200	Loja 2	28	113.22	38
26/11/2019	389368000200	Loja 2	76	705.34	210
3/11/2019	389368000200	Loja 2	42	292.96	77.48
3/11/2019	389368000200	Loja 2	97	449.91	50.28
26/11/2019	389368000200	Loja 2	56	332.84	112.3
6/11/2019	389368000200	Loja 2	36	403.65	70.41
6/11/2019	389368000200	Loja 2	32	196.1	70.88
3/11/2019	389368000200	Loja 2	45	476.15	52.04
6/11/2019	389368000200	Loja 2	23	227.81	31.46
1/11/2019	389368000200	Loja 2	46	336.94	105.7
13/11/2019	389368000200	Loja 2	29	992.62	332
10/11/2019	389368000200	Loja 2	34	604.6	56.9
27/11/2019	389368000200	Loja 2	96	381.48	42.62
1/11/2019	389368000200	Loja 2	110	462.46	51.73
27/11/2019	389368000200	Loja 2	42	807.54	92.36
13/11/2019	389368000200	Loja 2	75	303.25	18.07
13/11/2019	389368000200	Loja 2	31	158.38	53.01
24/11/2019	389368000200	Loja 2	58	234.48	78.52
26/11/2019	389368000200	Loja 2	7	117.92	34.37
26/11/2019	389368000200	Loja 2	98	1322.62	95.04
22/11/2019	389368000200	Loja 2	38	622.68	31.18
10/11/2019	389368000200	Loja 2	24	114.88	114.88
3/11/2019	389368000200	Loja 2	57	233.51	13.86
22/11/2019	389368000200	Loja 2	1	6.97	3
1/11/2019	389368000200	Loja 2	59	408.7	156
24/11/2019	389368000200	Loja 2	53	119	39.93
3/11/2019	389368000200	Loja 2	47	180.24	25.9
1/11/2019	389368000200	Loja 2	30	99.3	50
1/11/2019	389368000200	Loja 2	86	504.02	133.28
3/11/2019	389368000200	Loja 2	54	238	79.7
26/11/2019	389368000200	Loja 2	47	445.63	112.69
10/11/2019	389368000200	Loja 2	21	228.36	45
27/11/2019	389368000200	Loja 2	34	138.44	49.76
26/11/2019	389368000200	Loja 2	142	525.86	58.88
27/11/2019	389368000200	Loja 2	32	234.56	92.54
1/11/2019	389368000200	Loja 2	66	555.34	15.01
10/11/2019	389368000200	Loja 2	72	265.01	41.04
26/12/2019	389368000200	Loja 2	21	64.43	23.28
6/11/2019	389368000200	Loja 2	29	105.15	53
24/11/2019	389368000200	Loja 2	45	192.49	11.39
31/12/2019	389368000200	Loja 2	41	381.98	142
10/11/2019	389368000200	Loja 2	46	225.1	13.33
6/11/2019	389368000200	Loja 2	47	448.2	180
10/11/2019	389368000200	Loja 2	31	1580.45	76.47
6/11/2019	389368000200	Loja 2	78	577.98	177
26/11/2019	389368000200	Loja 2	58	241.48	69.9
3/11/2019	389368000200	Loja 2	27	200.9	28
27/11/2019	389368000200	Loja 2	51	946.53	67.95
22/11/2019	389368000200	Loja 2	41	345.69	117
3/11/2019	389368000200	Loja 2	46	191.36	48
3/11/2019	389368000200	Loja 2	59	938.09	62.74
1/11/2019	389368000200	Loja 2	38	340.38	114
1/11/2019	389368000200	Loja 2	60	254.21	91.4
27/11/2019	389368000200	Loja 2	39	491.77	33.97
22/11/2019	389368000200	Loja 2	60	250.34	90.14
24/11/2019	389368000200	Loja 2	64	445.56	132
10/11/2019	389368000200	Loja 2	88	583.31	178
1/11/2019	389368000200	Loja 2	74	312.53	18.59
27/11/2019	389368000200	Loja 2	36	495.72	68
10/11/2019	389368000200	Loja 2	37	358.59	45
1/11/2019	389368000200	Loja 2	91	468.64	67.39
27/11/2019	389368000200	Loja 2	23	104.65	35
27/11/2019	389368000200	Loja 2	60	249.06	14.8
13/11/2019	389368000200	Loja 2	103	380.92	42.73
22/11/2019	389368000200	Loja 2	82	275.78	92.72
3/11/2019	389368000200	Loja 2	24	83.12	23.94
1/11/2019	389368000200	Loja 2	52	206.04	53.11
13/11/2019	389368000200	Loja 2	41	181.27	30.38
1/11/2019	389368000200	Loja 2	23	137.65	23
10/11/2019	389368000200	Loja 2	51	200.59	50.45
26/11/2019	389368000200	Loja 2	13	167.25	25
6/11/2019	389368000200	Loja 2	33	61.42	22.94
26/12/2019	438718000308	Loja 3	1	2372.62	521.93
31/12/2019	438718000308	Loja 3	1	3857.65	709.49
31/12/2019	438718000308	Loja 3	2	2230.62	460.82
31/12/2019	438718000308	Loja 3	6	740.01	238.17
26/12/2019	438718000308	Loja 3	2	1538.68	321.87
31/12/2019	438718000308	Loja 3	23	79.1	30.53
26/12/2019	438718000308	Loja 3	3	965.96	258.32
31/12/2019	438718000308	Loja 3	3	1440.28	412.74
26/12/2019	438718000308	Loja 3	4	724.65	126.59
31/12/2019	438718000308	Loja 3	5	1085.3	196.66
31/12/2019	438718000308	Loja 3	4	1339.95	282.29
26/12/2019	438718000308	Loja 3	20	69.26	27.17
31/12/2019	438718000308	Loja 3	7	1405.19	266.38
26/12/2019	438718000308	Loja 3	9	83.46	24
26/12/2019	438718000308	Loja 3	10	150.39	53.5
31/12/2019	438718000308	Loja 3	20	87.78	22
31/12/2019	438718000308	Loja 3	11	751.41	79.52
26/12/2019	438718000308	Loja 3	5	391.1	85.19
31/12/2019	438718000308	Loja 3	51	1882.54	946
31/12/2019	438718000308	Loja 3	15	440.75	44.34
31/12/2019	438718000308	Loja 3	8	498.52	53.21
31/12/2019	438718000308	Loja 3	9	199.83	75.48
31/12/2019	438718000308	Loja 3	35	239.4	60
31/12/2019	438718000308	Loja 3	16	359.77	62.9
31/12/2019	438718000308	Loja 3	14	672.31	91.36
31/12/2019	438718000308	Loja 3	26	261.66	44.16
31/12/2019	438718000308	Loja 3	37	143.76	30.66
31/12/2019	438718000308	Loja 3	22	288.35	46.25
31/12/2019	438718000308	Loja 3	10	423.92	64.57
26/12/2019	438718000308	Loja 3	14	110.98	39
26/12/2019	438718000308	Loja 3	21	94.48	5.01
26/12/2019	438718000308	Loja 3	23	131.75	38.36
26/12/2019	438718000308	Loja 3	11	202.38	49.14
26/12/2019	438718000308	Loja 3	8	215.78	45.5
31/12/2019	438718000308	Loja 3	17	144.64	22.64
26/12/2019	438718000308	Loja 3	6	237.7	56.5
26/12/2019	438718000308	Loja 3	7	183.14	44
31/12/2019	438718000308	Loja 3	13	110.61	17.74
31/12/2019	438718000308	Loja 3	24	80.91	29
31/12/2019	438718000308	Loja 3	27	581.27	95.47
31/12/2019	438718000308	Loja 3	242	828.85	103.81
31/12/2019	438718000308	Loja 3	19	51.7	22
31/12/2019	438718000308	Loja 3	36	177.08	53.67
31/12/2019	438718000308	Loja 3	18	97.02	18
26/12/2019	438718000308	Loja 3	40	219.49	7.43
26/12/2019	438718000308	Loja 3	18	58.66	3.48
31/12/2019	438718000308	Loja 3	12	167.85	11.61
26/12/2019	438718000308	Loja 3	33	219.45	77
26/12/2019	438718000308	Loja 3	12	15.3	17
31/12/2019	438718000308	Loja 3	45	109.45	55
26/12/2019	438718000308	Loja 3	13	13.86	14
31/12/2019	438718000308	Loja 3	25	99.75	35
31/12/2019	438718000308	Loja 3	69	515.41	17.43
13/11/2019	438718000308	Loja 3	2	1337.46	337.51
27/11/2019	438718000308	Loja 3	2	1005.25	255.55
